Game,2014,2019,2018,2015,2017,2013,N/A,2016,2020,Genre,North America,Europe,Japan,Rest of World,Global,Publisher
Final Fantasy XIV: A Realm Reborn,1,0,0,0,0,0,0,0,0,MMO,5.6634304207119746,2.3686920700308955,3.6866359447004617,3.9735099337748343,4.074265085095409,Square Enix
Destiny: The Collection,0,0,0,0,0,0,0,1,0,Shooter,3.8834951456310685,4.119464469618949,0.9216589861751154,3.9735099337748343,4.022692109334708,Activision
F1 2016 (Codemasters),0,0,0,0,0,0,0,1,0,Racing,1.1326860841423954,5.76725025746653,1.3824884792626728,3.642384105960265,4.022692109334708,Codemasters
Hitman (2016),0,0,0,0,1,0,0,0,0,Action,3.8834951456310685,3.7075180226570534,2.7649769585253456,3.642384105960265,4.022692109334708,Square Enix
Pro Evolution Soccer 2015,1,0,0,0,0,0,0,0,0,Sports,1.4563106796116507,4.634397528321318,5.529953917050691,3.311258278145696,3.9195461578133055,Konami Digital Entertainment
LEGO City Undercover,0,0,0,0,1,0,0,0,0,Platform,2.7508090614886735,4.737384140061791,0.46082949308755783,3.9735099337748343,3.867973182052604,Warner Bros. Interactive Entertainment
Pro Evolution Soccer 2018,0,0,0,0,1,0,0,0,0,Sports,1.9417475728155342,3.7075180226570534,8.755760368663596,2.9801324503311255,3.867973182052604,Konami Digital Entertainment
Disney Infinity 2.0: Marvel Super Heroes,1,0,0,0,0,0,0,0,0,Action-Adventure,5.987055016181231,2.5746652935118433,0.0,4.304635761589404,3.867973182052604,Disney Interactive Studios
Pro Evolution Soccer 2017,0,0,0,0,0,0,0,1,0,Sports,1.294498381877023,4.222451081359423,8.294930875576037,2.9801324503311255,3.867973182052604,Konami Digital Entertainment
Sniper Elite 3,1,0,0,0,0,0,0,0,0,Shooter,4.045307443365696,3.8105046343975273,0.0,3.9735099337748343,3.816400206291903,505 Games
MLB 14 The Show,1,0,0,0,0,0,0,0,0,Sports,9.54692556634304,0.0,0.0,4.635761589403974,3.764827230531201,Sony Computer Entertainment
WipEout Omega Collection,0,0,0,0,1,0,0,0,0,Racing,1.9417475728155342,5.046343975283213,0.0,3.642384105960265,3.7132542547705,Sony Interactive Entertainment
Deus Ex: Mankind Divided,0,0,0,0,0,0,0,1,0,Role-Playing,4.045307443365696,3.5015447991761066,0.46082949308755783,3.9735099337748343,3.7132542547705,Square Enix
The LEGO Movie Videogame,1,0,0,0,0,0,0,0,0,Action-Adventure,4.207119741100324,3.29557157569516,0.46082949308755783,3.642384105960265,3.6616812790097986,Warner Bros. Interactive Entertainment
Marvel vs. Capcom: Infinite,0,0,0,0,1,0,0,0,0,Fighting,5.825242718446603,1.9567456230690008,1.8433179723502309,3.642384105960265,3.610108303249097,Capcom
Dark Souls II,0,0,0,1,0,0,0,0,0,Role-Playing,4.368932038834952,2.3686920700308955,4.147465437788019,3.311258278145696,3.5585353274883955,Namco Bandai Games
Yakuza 6,0,0,0,0,0,0,0,1,0,Adventure,2.588996763754046,1.0298661174047372,17.511520737327192,1.655629139072848,3.5585353274883955,Sega
F1 2015,0,0,0,1,0,0,0,0,0,Racing,1.6181229773462789,4.634397528321318,1.8433179723502309,3.311258278145696,3.5069623517276947,Codemasters
METRO 2033,1,0,0,0,0,0,0,0,0,Shooter,3.5598705501618126,3.1925849639546855,2.3041474654377883,3.311258278145696,3.5069623517276947,Deep Silver
Rocksmith 2014,1,0,0,0,0,0,0,0,0,Music,6.148867313915859,1.7507723995880533,0.0,3.9735099337748343,3.455389375966993,Ubisoft
NHL 16,0,0,0,1,0,0,0,0,0,Sports,6.148867313915859,1.64778578784758,0.0,3.9735099337748343,3.403816400206292,EA Sports
Plants vs Zombies: Garden Warfare,1,0,0,0,0,0,0,0,0,Shooter,3.8834951456310685,3.0895983522142116,0.46082949308755783,3.642384105960265,3.403816400206292,Electronic Arts
Tales of Berseria,0,0,0,0,0,0,0,1,0,Role-Playing,3.5598705501618126,1.0298661174047372,11.9815668202765,2.317880794701987,3.3522434244455903,Namco Bandai Games
Yakuza Zero: The Place of Oath,0,0,0,1,0,0,0,0,0,Adventure,3.5598705501618126,1.64778578784758,8.755760368663596,2.6490066225165565,3.3522434244455903,Sega
One Piece: Burning Blood,0,0,0,0,0,0,0,1,0,Fighting,3.3980582524271847,2.6776519052523167,4.147465437788019,2.9801324503311255,3.3522434244455903,Namco Bandai Games
Batman: Return to Arkham,0,0,0,0,0,0,0,1,0,Action,2.4271844660194177,4.016477857878475,0.46082949308755783,3.311258278145696,3.3006704486848886,Warner Bros. Interactive Entertainment
Plants vs. Zombies: Garden Warfare 2,0,0,0,0,0,0,0,1,0,Shooter,3.5598705501618126,3.1925849639546855,0.0,3.311258278145696,3.2490974729241877,Electronic Arts
LEGO The Hobbit,1,0,0,0,0,0,0,0,0,Action-Adventure,2.2653721682847903,4.016477857878475,0.0,3.311258278145696,3.197524497163486,Warner Bros. Interactive Entertainment
World of Final Fantasy,0,0,0,0,0,0,0,1,0,Role-Playing,3.8834951456310685,2.1627188465499483,4.147465437788019,2.9801324503311255,3.197524497163486,Square Enix
F1 2017,0,0,0,0,1,0,0,0,0,Racing,0.6472491909385115,4.840370751802264,0.9216589861751154,2.9801324503311255,3.197524497163486,Koch Media
NHL 15,1,0,0,0,0,0,0,0,0,Sports,5.177993527508091,1.9567456230690008,0.0,3.642384105960265,3.197524497163486,EA Sports
Knowledge is Power,0,0,0,0,1,0,0,0,0,Party,0.8090614886731395,4.840370751802264,0.0,2.9801324503311255,3.1459515214027842,Sony Interactive Entertainment
L.A. Noire,0,0,0,0,1,0,0,0,0,Adventure,2.9126213592233015,3.29557157569516,0.0,3.311258278145696,3.0943785456420834,Rockstar Games
Hidden Agenda,0,0,0,0,1,0,0,0,0,Adventure,1.294498381877023,4.325437693099897,0.0,2.9801324503311255,3.0428055698813816,Sony Interactive Entertainment
Call of Duty: Modern Warfare Remastered,0,0,0,0,1,0,0,0,0,Shooter,2.7508090614886735,3.0895983522142116,1.3824884792626728,2.9801324503311255,2.99123259412068,Activision
Dragon Quest Builders: Revive Alefgard,0,0,0,0,0,0,0,1,0,Role-Playing,1.9417475728155342,1.7507723995880533,11.059907834101383,1.9867549668874172,2.99123259412068,Square Enix
The Lego Ninjago Movie Videogame,0,0,0,0,1,0,0,0,0,Action,2.588996763754046,3.29557157569516,0.0,2.9801324503311255,2.939659618359979,Warner Bros. Interactive Entertainment
Resident Evil: Revelations 2,0,0,0,1,0,0,0,0,0,Action,2.2653721682847903,2.5746652935118433,5.0691244239631335,2.317880794701987,2.939659618359979,Capcom
Rock Band 4,0,0,0,1,0,0,0,0,0,Music,6.63430420711974,0.6179196704428422,0.0,3.311258278145696,2.939659618359979,Harmonix Music Systems
NHL 18,0,0,0,0,1,0,0,0,0,Sports,5.016181229773464,1.64778578784758,0.0,3.311258278145696,2.939659618359979,EA Sports
Everybody's Golf,0,0,0,0,1,0,0,0,0,Sports,1.9417475728155342,2.2657054582904217,7.83410138248848,1.9867549668874172,2.888086642599278,Sony Interactive Entertainment
The Amazing Spider-Man 2 (2014),1,0,0,0,0,0,0,0,0,Action-Adventure,3.2362459546925577,2.6776519052523167,0.9216589861751154,2.9801324503311255,2.888086642599278,Activision
DOOM VFR,0,0,0,0,1,0,0,0,0,Shooter,3.5598705501618126,2.5746652935118433,0.0,2.9801324503311255,2.888086642599278,Bethesda Softworks
Sonic Forces,0,0,0,0,1,0,0,0,0,Platform,2.4271844660194177,3.1925849639546855,0.46082949308755783,2.9801324503311255,2.888086642599278,Sega
Kingdom Come: Deliverance,0,0,1,0,0,0,0,0,0,Role-Playing,2.9126213592233015,2.883625128733265,0.0,2.9801324503311255,2.888086642599278,Deep Silver
Lords of the Fallen,1,0,0,0,0,0,0,0,0,Role-Playing,3.2362459546925577,2.4716786817713694,0.9216589861751154,2.9801324503311255,2.8365136668385764,Square Enix
Sniper Elite 4,0,0,0,0,1,0,0,0,0,Shooter,3.3980582524271847,2.5746652935118433,0.0,2.9801324503311255,2.8365136668385764,Rebellion Developments
Rory McIlroy PGA Tour,0,0,0,1,0,0,0,0,0,Sports,3.0744336569579294,2.780638516992791,0.0,2.9801324503311255,2.8365136668385764,Electronic Arts
Project CARS 2,0,0,0,0,1,0,0,0,0,Racing,1.6181229773462789,3.6045314109165805,0.9216589861751154,2.6490066225165565,2.8365136668385764,Namco Bandai Games
Skylanders: Trap Team,1,0,0,0,0,0,0,0,0,Platform,4.045307443365696,1.8537590113285272,0.0,2.9801324503311255,2.681794739556472,Activision
NHL 17,0,0,0,0,0,0,0,1,0,Sports,5.177993527508091,1.1328527291452108,0.0,2.9801324503311255,2.681794739556472,EA Sports
One Piece: Pirate Warriors 3,0,0,0,1,0,0,0,0,0,Action,1.7799352750809065,2.2657054582904217,5.0691244239631335,1.9867549668874172,2.681794739556472,Namco Bandai Games
DiRT Rally,0,0,0,0,0,0,0,1,0,Racing,2.1035598705501624,3.0895983522142116,0.0,2.6490066225165565,2.6302217637957708,Codemasters
Homefront: The Revolution,0,0,0,0,0,0,0,1,0,Shooter,1.7799352750809065,2.986611740473738,1.8433179723502309,2.317880794701987,2.5786487880350695,Deep Silver
Attack on Titan (KOEI),0,0,0,0,0,0,0,1,0,Action,1.294498381877023,2.4716786817713694,5.529953917050691,1.9867549668874172,2.5786487880350695,Tecmo Koei
DiRT 4,0,0,0,0,1,0,0,0,0,Racing,1.6181229773462789,3.0895983522142116,0.9216589861751154,2.317880794701987,2.5270758122743677,Codemasters
Farpoint,0,0,0,0,1,0,0,0,0,Shooter,0.0,3.9134912461380016,1.8433179723502309,1.9867549668874172,2.4755028365136664,Sony Interactive Entertainment
Battleborn,0,0,0,0,0,0,0,1,0,Shooter,4.045307443365696,1.2358393408856847,1.3824884792626728,2.6490066225165565,2.4755028365136664,2K Games
A Way Out,0,0,1,0,0,0,0,0,0,Action,3.721682847896441,1.64778578784758,0.0,2.6490066225165565,2.4755028365136664,Electronic Arts
Friday the 13th: The Game,0,0,0,0,1,0,0,0,0,Action,4.692556634304208,0.9268795056642636,1.3824884792626728,2.6490066225165565,2.4755028365136664,Gun Media
The Walking Dead: A Telltale Games Series,1,0,0,0,0,0,0,0,0,Adventure,1.9417475728155342,2.6776519052523167,1.3824884792626728,2.317880794701987,2.4755028365136664,Telltale Games
Wolfenstein: The Old Blood,0,0,0,1,0,0,0,0,0,Shooter,2.1035598705501624,2.5746652935118433,0.9216589861751154,2.317880794701987,2.4755028365136664,Bethesda Softworks
Deadpool,0,0,0,1,0,0,0,0,0,Action,4.207119741100324,1.3388259526261583,0.0,2.6490066225165565,2.423929860752965,Activision
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,0,0,0,0,0,0,0,1,0,Action,0.8090614886731395,0.9268795056642636,13.824884792626728,0.9933774834437086,2.423929860752965,Square Enix
TrackMania Turbo,0,0,0,0,0,0,0,1,0,Racing,0.6472491909385115,3.6045314109165805,0.0,2.317880794701987,2.423929860752965,Ubisoft
Knack 2,0,0,0,0,1,0,0,0,0,Platform,2.2653721682847903,2.5746652935118433,0.46082949308755783,2.317880794701987,2.423929860752965,Sony Interactive Entertainment
Just Dance 2014,0,0,0,0,0,1,0,0,0,Music,3.3980582524271847,1.8537590113285272,0.0,2.6490066225165565,2.423929860752965,Ubisoft
Dissidia Final Fantasy NT,0,0,1,0,0,0,0,0,0,Fighting,3.0744336569579294,0.6179196704428422,7.3732718894009235,1.655629139072848,2.372356884992264,Square Enix
Skylanders: SuperChargers,0,0,0,1,0,0,0,0,0,Action-Adventure,4.692556634304208,0.9268795056642636,0.0,2.6490066225165565,2.3207839092315625,Activision
Yakuza Kiwami,0,0,0,0,0,0,0,1,0,Adventure,2.1035598705501624,0.7209062821833162,9.67741935483871,1.3245033112582782,2.3207839092315625,Sega
Tales of Zestiria,0,0,0,1,0,0,0,0,0,Role-Playing,2.9126213592233015,1.64778578784758,1.8433179723502309,2.317880794701987,2.3207839092315625,Namco Bandai Games
Star Ocean 5: Integrity and Faithlessness,0,0,0,0,0,0,0,1,0,Role-Playing,1.6181229773462789,1.3388259526261583,7.3732718894009235,1.655629139072848,2.3207839092315625,Square Enix
Sleeping Dogs,1,0,0,0,0,0,0,0,0,Action,2.588996763754046,2.1627188465499483,0.0,2.317880794701987,2.2692109334708612,Square Enix
Skylanders SWAP Force,0,0,0,0,0,1,0,0,0,Misc,3.721682847896441,1.4418125643666324,0.0,2.6490066225165565,2.2692109334708612,Activision
Skylanders Imaginators,0,0,0,0,0,0,0,1,0,Platform,2.9126213592233015,1.8537590113285272,0.0,2.317880794701987,2.2176379577101595,Activision
Trials Fusion,1,0,0,0,0,0,0,0,0,Misc,2.1035598705501624,2.3686920700308955,0.46082949308755783,2.317880794701987,2.2176379577101595,Ubisoft
Saints Row IV,0,0,0,1,0,0,0,0,0,Action,2.4271844660194177,1.8537590113285272,1.3824884792626728,1.9867549668874172,2.166064981949458,Deep Silver
Dishonored,0,0,0,1,0,0,0,0,0,Action,1.9417475728155342,2.1627188465499483,0.9216589861751154,1.9867549668874172,2.166064981949458,Bethesda Softworks
Mirror's Edge 2,0,0,0,0,0,0,0,1,0,Platform,2.1035598705501624,1.9567456230690008,1.3824884792626728,1.9867549668874172,2.166064981949458,Electronic Arts
Farming Simulator 2015,0,0,0,1,0,0,0,0,0,Simulation,2.1035598705501624,2.2657054582904217,0.0,2.317880794701987,2.114492006188757,Koch Media
Just Dance 2015,1,0,0,0,0,0,0,0,0,Music,3.3980582524271847,1.3388259526261583,0.0,2.317880794701987,2.114492006188757,Ubisoft
Sword Art Online: Hollow Realization,0,0,0,0,0,0,0,1,0,Role-Playing,2.9126213592233015,0.6179196704428422,5.529953917050691,1.655629139072848,2.114492006188757,Namco Bandai Games
Just Dance 2016,0,0,0,1,0,0,0,0,0,Music,3.0744336569579294,1.3388259526261583,0.0,2.317880794701987,2.0113460546673543,Ubisoft
Batman: Arkham VR,0,0,0,0,0,0,0,1,0,Action,5.177993527508091,0.0,0.0,2.317880794701987,2.0113460546673543,Warner Bros. Interactive Entertainment
Little Nightmares,0,0,0,0,1,0,0,0,0,Platform,2.9126213592233015,1.2358393408856847,0.9216589861751154,1.9867549668874172,2.0113460546673543,Namco Bandai Games
Tropico 5,0,0,0,1,0,0,0,0,0,Simulation,1.1326860841423954,1.8537590113285272,3.6866359447004617,1.655629139072848,1.9597730789066528,Kalypso Media
Life is Strange,0,0,0,0,0,0,0,1,0,Adventure,1.7799352750809065,1.64778578784758,2.3041474654377883,1.655629139072848,1.9082001031459515,Square Enix
Resident Evil Zero,0,0,0,0,0,0,0,1,0,Action-Adventure,1.1326860841423954,1.8537590113285272,3.2258064516129044,1.655629139072848,1.9082001031459515,Capcom
Yakuza Kiwami 2,0,0,0,0,1,0,0,0,0,Action,1.294498381877023,0.6179196704428422,8.755760368663596,0.9933774834437086,1.9082001031459515,Sega
Vampyr,0,0,1,0,0,0,0,0,0,Role-Playing,1.9417475728155342,1.9567456230690008,0.0,1.9867549668874172,1.9082001031459515,Focus Home Interactive
Okami,0,0,0,0,1,0,0,0,0,Action,2.588996763754046,1.2358393408856847,1.3824884792626728,1.9867549668874172,1.85662712738525,Capcom
Sniper: Ghost Warrior 3,0,0,0,0,1,0,0,0,0,Shooter,2.2653721682847903,1.5447991761071058,1.3824884792626728,1.9867549668874172,1.85662712738525,City Interactive
Hokuto ga Gotoku,0,0,1,0,0,0,0,0,0,Action,1.4563106796116507,0.5149330587023685,8.294930875576037,0.9933774834437086,1.85662712738525,Sega
Sword Art Online: Lost Song,0,0,0,1,0,0,0,0,0,Role-Playing,3.0744336569579294,1.1328527291452108,0.0,1.9867549668874172,1.85662712738525,Namco Bandai Games
Disgaea 5: Alliance of Vengeance,0,0,0,1,0,0,0,0,0,Role-Playing,2.4271844660194177,0.82389289392379,3.2258064516129044,1.655629139072848,1.8050541516245484,NIS America
Dead or Alive 5,0,0,0,1,0,0,0,0,0,Fighting,1.4563106796116507,1.3388259526261583,4.147465437788019,1.3245033112582782,1.8050541516245484,Tecmo Koei
Gravity Rush 2,0,0,0,0,1,0,0,0,0,Action-Adventure,2.1035598705501624,0.5149330587023685,5.99078341013825,1.3245033112582782,1.8050541516245484,Sony Interactive Entertainment
Odin Sphere: Leifthrasir,0,0,0,0,0,0,0,1,0,Role-Playing,2.2653721682847903,0.7209062821833162,4.147465437788019,1.3245033112582782,1.7534811758638473,NIS America
Divinity: Original Sin,0,0,0,1,0,0,0,0,0,Role-Playing,2.1035598705501624,1.3388259526261583,1.8433179723502309,1.655629139072848,1.7534811758638473,Focus Home Interactive
The King of Fighters XIV,0,0,0,0,0,0,0,1,0,Fighting,3.3980582524271847,0.2059732234809474,2.7649769585253456,1.655629139072848,1.7534811758638473,Deep Silver
Dishonored: Death of the Outsider,0,0,0,0,1,0,0,0,0,Action,1.6181229773462789,1.8537590113285272,0.0,1.655629139072848,1.701908200103146,Bethesda Softworks
Valkyria Chronicles,0,0,0,0,0,0,0,1,0,Role-Playing,2.2653721682847903,0.82389289392379,3.6866359447004617,1.3245033112582782,1.701908200103146,Sega
Murdered: Soul Suspect,1,0,0,0,0,0,0,0,0,Action-Adventure,1.4563106796116507,1.7507723995880533,0.9216589861751154,1.655629139072848,1.701908200103146,Square Enix
Payday 2,0,0,0,1,0,0,0,0,0,Shooter,1.9417475728155342,1.4418125643666324,0.0,1.655629139072848,1.6503352243424443,505 Games
UEFA Euro 2016,0,0,0,0,0,0,0,1,0,Sports,0.0,2.2657054582904217,2.3041474654377883,1.3245033112582782,1.598762248581743,Konami Digital Entertainment
DmC: Devil May Cry,0,0,0,1,0,0,0,0,0,Action,1.9417475728155342,1.3388259526261583,0.0,1.655629139072848,1.598762248581743,Capcom
Sonic Mania,0,0,0,0,1,0,0,0,0,Platform,1.6181229773462789,1.5447991761071058,0.46082949308755783,1.655629139072848,1.598762248581743,Sega
J Stars Victory Vs.,0,0,0,1,0,0,0,0,0,Fighting,1.7799352750809065,1.4418125643666324,0.0,1.655629139072848,1.598762248581743,Namco Bandai Games
XCOM 2,0,0,0,0,0,0,0,1,0,Strategy,2.588996763754046,1.0298661174047372,0.0,1.655629139072848,1.598762248581743,2K Games
Dynasty Warriors 8: Xtreme Legends,1,0,0,0,0,0,0,0,0,Misc,1.4563106796116507,1.2358393408856847,2.7649769585253456,1.3245033112582782,1.598762248581743,Tecmo Koei
Cities: Skylines,0,0,0,0,1,0,0,0,0,Simulation,2.4271844660194177,0.7209062821833162,1.8433179723502309,1.655629139072848,1.5471892728210417,Koch Media
Saint Seiya: Soldiers' Soul,0,0,0,1,0,0,0,0,0,Fighting,0.0,2.1627188465499483,2.3041474654377883,1.3245033112582782,1.5471892728210417,Namco Bandai Games
Just Dance 2018,0,0,0,0,1,0,0,0,0,Music,1.6181229773462789,1.5447991761071058,0.0,1.655629139072848,1.5471892728210417,Ubisoft
The Walking Dead: Season Two,1,0,0,0,0,0,0,0,0,Misc,2.1035598705501624,0.9268795056642636,1.3824884792626728,1.655629139072848,1.5471892728210417,Square Enix
Sword Art Online: Fatal Bullet,0,0,1,0,0,0,0,0,0,Role-Playing,1.7799352750809065,0.3089598352214211,5.99078341013825,0.9933774834437086,1.49561629706034,Namco Bandai Games
Naruto to Boruto: Shinobi Striker,0,0,1,0,0,0,0,0,0,Action,3.0744336569579294,0.3089598352214211,0.9216589861751154,1.655629139072848,1.49561629706034,Bandai Namco Games
Yooka-Laylee,0,0,0,0,1,0,0,0,0,Platform,1.4563106796116507,1.64778578784758,0.0,1.655629139072848,1.49561629706034,Sold Out
Cars 3: Driven to Win,0,0,0,0,1,0,0,0,0,Racing,0.9708737864077673,1.8537590113285272,0.46082949308755783,1.3245033112582782,1.49561629706034,Warner Bros. Interactive Entertainment
Metal Gear Solid V: The Definitive Experience,0,0,0,0,0,0,0,1,0,Action,2.1035598705501624,0.82389289392379,1.3824884792626728,1.3245033112582782,1.49561629706034,Konami Digital Entertainment
Sherlock Holmes: Crimes & Punishments,1,0,0,0,0,0,0,0,0,Adventure,1.6181229773462789,1.4418125643666324,0.0,1.655629139072848,1.49561629706034,Focus Home Interactive
Star Trek Bridge Crew VR,0,0,0,0,1,0,0,0,0,Action,1.7799352750809065,1.2358393408856847,0.0,1.655629139072848,1.444043321299639,Ubisoft
The Heavy Rain and Beyond: Two Souls Collection,0,0,0,0,0,0,0,1,0,Action,0.0,2.4716786817713694,0.0,1.3245033112582782,1.444043321299639,Sony Computer Entertainment
Spintires: MudRunner,0,0,0,0,1,0,0,0,0,Simulation,1.7799352750809065,1.2358393408856847,0.0,1.655629139072848,1.444043321299639,Focus Home Interactive
Onechanbara Z2: Chaos,1,0,0,0,0,0,0,0,0,Action,2.588996763754046,0.3089598352214211,2.3041474654377883,1.3245033112582782,1.444043321299639,NIS America
Secret of Mana,0,0,1,0,0,0,0,0,0,Role-Playing,0.9708737864077673,1.2358393408856847,2.3041474654377883,1.3245033112582782,1.444043321299639,Square Enix
Gundam Versus,0,0,0,0,1,0,0,0,0,Action,1.294498381877023,0.0,8.294930875576037,0.6622516556291391,1.444043321299639,Namco Bandai Games
NBA Live 14,0,0,0,0,0,1,0,0,0,Sports,2.7508090614886735,0.5149330587023685,0.0,1.655629139072848,1.3924703455389376,EA Sports
Bravo Team VR,0,0,1,0,0,0,0,0,0,Shooter,1.9417475728155342,0.9268795056642636,0.9216589861751154,1.3245033112582782,1.3924703455389376,Sony Interactive Entertainment
Killing Floor 2�,0,0,0,0,0,0,0,1,0,Shooter,3.0744336569579294,0.3089598352214211,0.0,1.655629139072848,1.3924703455389376,Tripwire Interactive
Robinson: The Journey,0,0,0,0,0,0,0,1,0,Action-Adventure,2.2653721682847903,0.9268795056642636,0.0,1.655629139072848,1.3924703455389376,Sony Interactive Entertainment
DriveClub VR,0,0,0,0,0,0,0,1,0,Racing,1.9417475728155342,0.9268795056642636,0.46082949308755783,1.3245033112582782,1.3924703455389376,Sony Interactive Entertainment
Fate/Extella: The Umbral Star,0,0,0,0,0,0,0,1,0,Action,1.9417475728155342,0.0,5.529953917050691,0.9933774834437086,1.3924703455389376,PQube
Ultimate Marvel vs. Capcom 3,0,0,0,0,1,0,0,0,0,Fighting,3.0744336569579294,0.0,0.9216589861751154,1.3245033112582782,1.340897369778236,Capcom
New Danganronpa V3: Minna no Koroshiai Shin Gakki,0,0,0,0,1,0,0,0,0,Adventure,1.4563106796116507,0.5149330587023685,3.2258064516129044,0.9933774834437086,1.2893243940175347,NIS America
Samurai Warriors 4,1,0,0,0,0,0,0,0,0,Fighting,1.294498381877023,0.7209062821833162,2.7649769585253456,0.9933774834437086,1.2893243940175347,Tecmo Koei
Darksiders III,0,0,1,0,0,0,0,0,0,Action,2.1035598705501624,0.7209062821833162,0.0,1.3245033112582782,1.2893243940175347,THQ Nordic
NBA Live 15,1,0,0,0,0,0,0,0,0,Sports,2.588996763754046,0.4119464469618948,0.0,1.3245033112582782,1.2893243940175347,Electronic Arts
NBA Live 18,0,0,0,0,1,0,0,0,0,Sports,3.2362459546925577,0.0,0.0,1.655629139072848,1.2377514182568332,EA Sports
Tearaway Unfolded,0,0,0,1,0,0,0,0,0,Platform,1.1326860841423954,1.3388259526261583,0.0,1.3245033112582782,1.2377514182568332,Sony Computer Entertainment
.hack//G.U. Last Recode,0,0,0,0,1,0,0,0,0,Role-Playing,1.6181229773462789,0.4119464469618948,3.6866359447004617,0.9933774834437086,1.2377514182568332,Namco Bandai Games
Ride,0,0,0,1,0,0,0,0,0,Racing,0.6472491909385115,1.3388259526261583,1.3824884792626728,0.9933774834437086,1.2377514182568332,Milestone S.r.l.
Just Dance 2017,0,0,0,0,0,0,0,1,0,Misc,1.294498381877023,1.2358393408856847,0.0,1.3245033112582782,1.2377514182568332,Ubisoft
The Escapists 2,0,0,0,0,1,0,0,0,0,Action,0.6472491909385115,1.64778578784758,0.0,1.3245033112582782,1.2377514182568332,Sold Out
Transformers: Devastation,0,0,0,1,0,0,0,0,0,Action,1.7799352750809065,0.9268795056642636,0.0,1.3245033112582782,1.2377514182568332,Activision
Darksiders II,0,0,0,1,0,0,0,0,0,Action-Adventure,1.6181229773462789,1.0298661174047372,0.0,1.3245033112582782,1.2377514182568332,Nordic Games
Jikkyou Powerful Pro Baseball 2016,0,0,0,0,0,0,0,1,0,Sports,0.0,0.0,11.059907834101383,0.0,1.2377514182568332,Konami Digital Entertainment
The Elder Scrolls Online: Morrowind,0,0,0,0,1,0,0,0,0,MMO,1.7799352750809065,0.9268795056642636,0.0,1.3245033112582782,1.2377514182568332,Bethesda Softworks
Digimon World: Next Order,0,0,0,0,1,0,0,0,0,Role-Playing,2.1035598705501624,0.5149330587023685,0.9216589861751154,1.3245033112582782,1.2377514182568332,Namco Bandai Games
theHunter: Call of the Wild,0,0,0,0,1,0,0,0,0,Shooter,3.0744336569579294,0.0,0.0,1.3245033112582782,1.2377514182568332,Astragon
Tony Hawk's Pro Skater 5,0,0,0,1,0,0,0,0,0,Sports,1.7799352750809065,0.82389289392379,0.0,1.3245033112582782,1.186178442496132,Activision
Angry Birds: Star Wars,0,0,0,0,0,1,0,0,0,Puzzle,1.7799352750809065,0.9268795056642636,0.0,1.3245033112582782,1.186178442496132,Activision
Elex,0,0,0,0,1,0,0,0,0,Role-Playing,0.4854368932038839,1.64778578784758,0.0,1.3245033112582782,1.186178442496132,THQ Nordic
RIGS: Mechanized Combat League,0,0,0,0,0,0,0,1,0,Action,1.7799352750809065,0.6179196704428422,0.9216589861751154,1.3245033112582782,1.186178442496132,Sony Interactive Entertainment
Transformer: Rise of the Dark Spark,1,0,0,0,0,0,0,0,0,Shooter,1.294498381877023,1.1328527291452108,0.46082949308755783,1.3245033112582782,1.186178442496132,Activision
Dead Island Definitive Collection,0,0,0,0,0,0,0,1,0,Action,1.4563106796116507,0.82389289392379,1.3824884792626728,0.9933774834437086,1.186178442496132,Deep Silver
Metal Gear Survive,0,0,1,0,0,0,0,0,0,Action,1.294498381877023,0.6179196704428422,2.3041474654377883,0.9933774834437086,1.186178442496132,Konami Digital Entertainment
Singstar Celebration,0,0,0,0,1,0,0,0,0,Music,0.6472491909385115,1.5447991761071058,0.0,0.9933774834437086,1.186178442496132,Sony Interactive Entertainment
Dead by Daylight,0,0,0,0,1,0,0,0,0,Action,1.7799352750809065,0.6179196704428422,0.9216589861751154,1.3245033112582782,1.1346054667354304,505 Games
Attack on Titan 2,0,0,1,0,0,0,0,0,0,Action,1.4563106796116507,0.4119464469618948,2.7649769585253456,0.9933774834437086,1.1346054667354304,Koei Tecmo
The Wolf Among Us,1,0,0,0,0,0,0,0,0,Adventure,1.7799352750809065,0.7209062821833162,0.0,1.3245033112582782,1.1346054667354304,Telltale Games
Micro Machines: World Series,0,0,0,0,1,0,0,0,0,Racing,0.4854368932038839,1.64778578784758,0.0,0.9933774834437086,1.1346054667354304,Codemasters
Bladestorm: Nightmare,0,0,0,1,0,0,0,0,0,Action,1.7799352750809065,0.4119464469618948,1.3824884792626728,0.9933774834437086,1.1346054667354304,Tecmo Koei
Zombie Army Trilogy,0,0,0,1,0,0,0,0,0,Shooter,0.9708737864077673,1.3388259526261583,0.0,0.9933774834437086,1.1346054667354304,Rebellion Developments
Outlast Trinity,0,0,0,0,1,0,0,0,0,Action,1.4563106796116507,0.9268795056642636,0.0,1.3245033112582782,1.1346054667354304,Warner Bros. Interactive Entertainment
EVE: Valkyrie,0,0,0,0,0,0,0,1,0,Shooter,1.7799352750809065,0.6179196704428422,0.0,1.3245033112582782,1.0830324909747289,Sony Interactive Entertainment
Senran Kagura: Peach Beach Splash,0,0,0,0,1,0,0,0,0,Action,1.4563106796116507,0.2059732234809474,3.6866359447004617,0.6622516556291391,1.0830324909747289,PQube
