Game,2014,2019,2018,2015,2017,2013,N/A,2016,2020,Genre,North America,Europe,Japan,Rest of World,Global,Publisher
Battlefield 4,0,0,0,0,0,1,0,0,0,Shooter,22.653721682847898,17.919670442842424,8.755760368663596,20.52980132450331,20.319752449716344,Electronic Arts
Gran Turismo Sport,0,0,0,0,1,0,0,0,0,Racing,10.194174757281555,24.20185375901132,11.059907834101383,17.880794701986755,19.443011861784424,Sony Interactive Entertainment
Assassin's Creed Syndicate,0,0,0,1,0,0,0,0,0,Action,14.563106796116507,21.215242018537584,3.6866359447004617,18.211920529801326,18.5662712738525,Ubisoft
NBA 2K17,0,0,0,0,0,0,0,1,0,Sports,36.89320388349515,6.076210092687949,1.3824884792626728,20.860927152317878,18.15368746776689,2K Sports
Mortal Kombat X,0,0,0,1,0,0,0,0,0,Fighting,31.391585760517803,9.680741503604528,0.0,20.19867549668874,17.998968540484785,Warner Bros. Interactive Entertainment
FIFA Soccer 14,0,0,0,0,0,1,0,0,0,Sports,10.032362459546926,22.451081359423274,5.529953917050691,16.887417218543046,17.68953068592058,EA Sports
The Elder Scrolls V: Skyrim,0,0,0,0,0,0,0,1,0,Role-Playing,20.06472491909385,15.447991761071059,3.6866359447004617,17.880794701986755,17.328519855595665,Bethesda Softworks
Watch Dogs 2,0,0,0,0,0,0,0,1,0,Action,15.857605177993527,17.919670442842424,5.529953917050691,17.218543046357613,17.328519855595665,Ubisoft
NBA 2K18,0,0,0,0,1,0,0,0,0,Sports,34.46601941747573,5.870236869207002,1.8433179723502309,19.536423841059598,17.225373904074264,2K Sports
Resident Evil VII: Biohazard,0,0,0,0,1,0,0,0,0,Action,14.23948220064725,16.0659114315139,18.894009216589865,15.231788079470201,17.07065497679216,Capcom
Madden NFL 16,0,0,0,1,0,0,0,0,0,Sports,38.67313915857606,3.1925849639546855,0.0,20.19867549668874,17.019082001031457,EA Sports
Madden NFL 17,0,0,0,0,0,0,0,1,0,Sports,37.2168284789644,3.8105046343975273,0.0,19.86754966887417,16.915936049510055,EA Sports
